"id","label","rank","x","y","cost","target"
50319,"Praetorium",70,15.968,31.286,0.0,0
50609,"Proconnesus",60,27.556,40.592,0.0,0
50619,"Prusias",80,29.156,40.432,0.0,0
50320,"Ptolemais",90,20.950,32.707,0.0,0
50321,"Ptolemais Hermiou",80,31.804,26.477,0.0,0
50322,"Puteoli",90,14.106,40.830,0.0,0
50642,"Pyramos (river)",60,35.560,36.570,0.0,0
50700,"Qasr Farafra",60,27.932,27.044,0.0,0
50654,"Raphia",80,34.252,31.289,0.0,0
50323,"Ravenna",90,12.212,44.423,0.0,0
50324,"Reate",80,12.860,42.402,0.0,0
50326,"Regium",80,15.643,38.108,0.0,0
50613,"Rhodos",80,28.230,36.440,0.0,0
50327,"Roma",100,12.485,41.891,0.0,0
50461,"Rotomagus",70,1.097,49.448,0.0,0
50328,"Rusaddir",80,-2.940,35.283,0.0,0
50329,"Rusicade",80,6.912,36.885,0.0,0
50330,"Rutupiae",70,1.318,51.302,0.0,0
50331,"Sabratha",90,12.484,32.805,0.0,0
50332,"Saguntum",80,-0.269,39.666,0.0,0
50333,"Sala",80,-6.810,34.005,0.0,0
50453,"Salamis",90,33.911,35.177,0.0,0
50520,"Salapia",70,16.020,41.390,0.0,0
50334,"Saldae",80,5.071,36.762,0.0,0
50335,"Salernum",80,14.765,40.677,0.0,0
50529,"Sallentinum Pr.",60,18.360,39.800,0.0,0
50470,"Salmantica",80,-5.664,40.964,0.0,0
50336,"Salona",90,16.500,43.531,0.0,0
50618,"Salsovia",70,29.124,45.066,0.0,0
50337,"Samarobriva",70,2.287,49.892,0.0,0
50758,"Samonion Pr.",60,26.254,35.281,0.0,0
50597,"Samos",80,26.940,37.690,0.0,0
50338,"Samosata",90,38.516,37.528,0.0,0
50339,"Santicum",70,13.874,46.635,0.0,0
50340,"Sardis",90,28.065,38.476,0.0,0
50341,"Sarmizegethusa",80,22.784,45.522,0.0,0
50342,"Satala",80,39.660,40.017,0.0,0
50343,"Savaria",80,16.621,47.234,0.0,0
50344,"Scarbantia",80,16.599,47.690,0.0,0
50345,"Scodra",80,19.511,42.065,0.0,0
50796,"Skyllaion Pr.",70,23.518,37.438,0.0,0
50346,"Scythopolis",90,35.504,32.507,0.0,0
50347,"Sebasteia",90,37.032,39.748,0.0,0
50471,"Segedunum",60,-1.529,54.990,0.0,0
